kartoška: kartoška
xabar: xabar
de: de
aʎas: aʎas
begawul: begawul
o: o
žu: žu
razi: razi
gobi: gobi
do: do
goli: goli
ɣuɣu: ɣuɣu
eⁿso: eⁿso
bužbi: buž bi
do: do
goli: goli
diyo: diyo
de: de
dubul: dubul
lože: lože
do: do
gobi: gobi
ʎɨn: ʎɨn
ha: ha
diyo: diyo
xol: xol
hibo: hibo
dubqol: dubqol
idu: idu
ʎun: ʎun
iłe: iłe
užá: užá
isul: isul
hos: hos
kad: kad
ʎɨn: ʎɨn
do: do
goli: goli
diyo: diyo
ʎɨn: ʎɨn
iłe: iłe
žu: žu
ʎun: ʎun
de: de
indu: indu
ʎib: ʎib
mo: mo
židul: židul
os: os
gollu: gollu
dilʲ: dilʲ
de: de
kaɣat: kaɣat
sudiyá: sudiyá
zihe: zihe
zihe: zihe
sudiyá: sudiyá
sudiyá: sudiyá
zihe: zihe
goli: goli
diyo: diyo
zaman: zaman
ise: ise
kaɣat: kaɣat
žu: žu
ise: ise
diyo: diyo
murad: murad
ise: ise
ise: ise
uže: uže
ɣuɣu: ɣuɣu
iseisulo: iseisulo
de: de
begawul: begawul
uže: uže
ɣode: ɣode
goli: goli
ise: ise
reła: reła
žu: žu
ičla: ičla
dudu: dudu
ʎɨn: ʎɨn
žu: žu
ičla: ičla
dudu: dudu
ʎɨn: ʎɨn
huniža: huniža
užá: užá
žequł: žequł
mangal: mangal
mangal: mangal
mangal: mangal
zihe: zihe
gollu: gollu
kˤaba: kˤaba
zihe: zihe
dilʲ: dilʲ
izzo: izzo
žu: žu
zeyi: ze yi
idu: idu
us: us
ze: ze
idu: idu
žoho: žoho
hos: hos
ħono: ħono
dac: dac
dilʲ: dilʲ
ʎɨn: ʎɨn
liʎ: liʎ
žu: žu
izzu: izzu
izze: izze
unbič: un bič
izzu: izzu
gaziyat: gaziyat
reła: reła
iso: iso
ono: ono
eⁿdu: eⁿdu
zor: zor
zor: zor
žu: žu
izzu: izzu
žu: žu
žu: žu
žu: žu
ideɣul: ide ɣul
idu: idu
ise: ise
ilʲó: ilʲó
lɨdo: lɨdo
idu: idu
žoho: žoho
gollu: gollu
ħažiyawi: ħažiyaw i
iłe: iłe
idu: idu
xʷasar: xʷasar
iłe: iłe
ise: ise
žequł: žequł
ilʲo: ilʲo
ʎɨn: ʎɨn
idu: idu
qodo: qodo
židu: židu
eⁿso: eⁿso
eⁿxeɣol: eⁿxeɣol
ło: ło
muše: muše
idu: idu
idu: idu
uže: uže
nartawla: nartaw la
idu: idu
isul: isul
uže: uže
žu: žu
ʎar: ʎar
nišoho: nišoho
ise: ise
ħono: ħono
eⁿš: eⁿš
dac: dac
kad: kad
kad: kad
de: de
zihe: zihe
ise: ise
qaba: qaba
ise: ise
ide: ide
aʎ: aʎ
šayx: šayx
žu: žu
kad: kad
do: do
mížo: mížo
ʎɨn: ʎɨn
žu: žu
homone: homone
ɣamasi: ɣamasi
goli: goli
hos: hos
hos: hos
šari: šari
idu: idu
ɣʷade: ɣʷade
hos: hos
huⁿho: huⁿho
iłe: iłe
idu: idu
idu: idu
izze: izze
ʎar: ʎar
atɣul: atɣul
homonu: homonu
židu: židu
din: din
hadam: hadam
nartaw: nartaw
iso: iso
ʎɨn: ʎɨn
himon: himon
giłil: giłil
iłe: iłe
idu: idu
kandaza: kandaza
mokonu: mokonu
ʎɨn: ʎɨn
užá: užá
lɨdo: lɨdo
obu: obu
do: do
do: do
eⁿduč: eⁿdu č
goli: goli
sasaqa: sasaqa
užá: užá
soyro: soyro
homondu: homondu
gollu: gollu
himon: himon
goli: goli
homonu: homonu
mižuqo: mižuqo
žoholi: žoholi
goli: goli
ʎun: ʎun
žoholi: žoholi
goli: goli
ʎɨn: ʎɨn
mo: mo
kad: kad
žohol: žohol
goli: goli
ʎɨn: ʎɨn
me: me
diqo: diqo
žu: žu
ono: ono
ʎɨn: ʎɨn
wallah: wallah
do: do
goli: goli
me: me
gulło: gul ło
kaɣat: kaɣat
idu: idu
xabar: xabar
goli: goli
himon: himon
mo: mo
mašina: mašina
ilʲe: ilʲe
mo: mo
do: do
ono: ono
mo: mo
de: de
ciyoⁿ: ciyoⁿ
ono: ono
hed: hed
žen: žen
čaʎło: čaʎ ło
hibo: hibo
žu: žu
žu: žu
aʎ: aʎ
giłɣužas: gił ɣužas
huⁿne: huⁿne
dac: dac
de: de
mo: mo
mˤgɣul: mˤgɣul
gobi: gobi
doco: doco
žu: žu
lože: lože
ise: ise
doco: doco
hodłon: hod łon
žu: žu
hibo: hibo
bexan: bexan
ʎɨn: ʎɨn
mašina: mašina
mašina: mašina
ílʲo: ílʲo
goli: goli
čorpa: čorpa
izzu: izzu
oʎ: oʎ
uže: uže
žu: žu
hada: hada
homondu: homondu
isul: isul
ʎarqa: ʎar qa
mo: mo
ʎɨn: ʎɨn
idu: idu
ise: ise
idu: idu
qˤuno: qˤuno
žu: žu
žu: žu
hada: hada
do: do
dilʲ: dilʲ
hos: hos
diyo: diyo
hed: hed
eⁿł: eⁿł
himon: himon
ħallamalaqe: ħallamalaqe
de: de
goli: goli
ʎɨn: ʎɨn
me: me
do: do
mo: mo
goli: goli
do: do
xan: xan
diyo: diyo
ħono: ħono
ɣine: ɣine
de: de
bušnebo: bušne bo
łu: łu
goli: goli
hiblʲa: hiblʲa
me: me
hibo: hibo
goli: goli
izzul: izzul
os: os
hadiyadɨl: hadiyad ɨl
židu: židu
žide: žide
žide: žide
židu: židu
židu: židu
židu: židu
žide: žide
žide: žide
hadiyadɣa: hadiyad ɣa
idu: idu
goli: goli
łino: łino
ʎar: ʎar
hadiyadla: hadiyad la
žoho: žoho
hadiyadla: hadiyad la
goli: goli
žide: žide
žide: žide
hada: hada
istakanba: istakan ba
žide: žide
aq: aq
žide: žide
suratba: surat ba
goli: goli
izze: izze
bataxu: bataxu
židu: židu
hadiyadɣa: hadiyad ɣa
goli: goli
łino: łino
goli: goli
ɣˤʷebo: ɣˤʷe bo
ɣˤʷebo: ɣˤʷe bo
ɣˤʷeza: ɣˤʷe za
hadiyadqa: hadiyad qa
gollubo: gollu bo
goli: goli
ise: ise
hos: hos
izzu: izzu
izzu: izzu
izzul: izzul
ono: ono
ciyoⁿ: ciyoⁿ
me: me
žequł: žequł
soyro: soyro
goli: goli
mo: mo
he: he
goli: goli
me: me
ɣodelʲso: ɣode lʲ so
ayi: ayi
diyo: diyo
surat: surat
dubuli: dubuli
dilʲ: dilʲ
mo: mo
mo: mo
dilʲ: dilʲ
mo: mo
ono: ono
onduč: ondu č
ondu: ondu
diyo: diyo
hobondu: hobondu
hoččun: hoččun
ílʲo: ílʲo
hibo: hibo
ono: ono
me: me
gidík: gid ík
uže: uže
me: me
usanše: usan še
yagi: yagi
mo: mo
yagi: yagi
yagi: yagi
me: me
ya: ya
łok: ło k
ya: ya
me: me
de: de
gobi: gobi
he: he
iłe: iłe
žu: žu
xabar: xabar
himon: himon
gollu: gollu
gobi: gobi
žu: žu
ilʲlʲo: ilʲlʲo
gobi: gobi
iłe: iłe
hibo: hibo
goli: goli
goli: goli
dubul: dubul
himon: himon
hiblʲa: hiblʲa
ɣˤʷe: ɣˤʷe
ɣˤʷe: ɣˤʷe
hibo: hibo
ɣˤʷe: ɣˤʷe
hibo: hibo
dogu: dogu
heⁿše: heⁿše
ise: ise
ise: ise
dogu: dogu
heⁿše: heⁿše
łu: łu
hibo: hibo
hibo: hibo
łu: łu
dogu: dogu
mašina: mašina
łu: łu
łu: łu
dogu: dogu
mašina: mašina
hiboso: hiboso
kad: kad
hiboso: hiboso
kad: kad
hibo: hibo
na: na
na: na
hibo: hibo
hibo: hibo
na: na
na: na
hibo: hibo
hibo: hibo
na: na
na: na
hibo: hibo
me: me
heⁿše: heⁿše
na: na
de: de
heⁿše: heⁿše
dow: dow
gɨd: gɨd
žequł: žequł
bertin: bertin
goli: goli
iłel: iłel
heⁿše: heⁿše
iłel: iłel
hibo: hibo
dubo: dubo
goli: goli
dubo: dubo
hibo: hibo
goli: goli
heⁿše: heⁿše
goli: goli
goli: goli
heⁿše: heⁿše
čorpa: čorpa
łul: łul
čorpa: čorpa
uže: uže
hibo: hibo
ɣuɣu: ɣuɣu
ze: ze
hibo: hibo
naɣul: na ɣul
ze: ze
mo: mo
eⁿdu: eⁿdu
ʎin: ʎin
žu: žu
kanduqo: kanduqo
iłe: iłe
gˤolʲlʲuč: gˤolʲlʲuč
ʎɨn: ʎɨn
ʎɨn: ʎɨn
ʎɨn: ʎɨn
dilʲ: dilʲ
himon: himon
gobi: gobi
ʎɨn: ʎɨn
iłe: iłe
iłe: iłe
isuqol: isuqol
hobože: hobože
me: me
dubul: dubul
ʎɨn: ʎɨn
na: na
łu: łu
iłeqol: iłeqol
dudu: dudu
žu: žu
ʎɨn: ʎɨn
naz: na z
ʎɨn: ʎɨn
ʎun: ʎun
iseisulo: iseisulo
hobože: hobože
idu: idu
himon: himon
ʎɨn: ʎɨn
wallah: wallah
diyo: diyo
liʎ: liʎ
goli: goli
de: de
dubul: dubul
lože: lože
do: do
gobi: gobi
ʎin: ʎin
iłe: iłe
žu: žu
ʎɨn: ʎɨn
hiblʲa: hiblʲa
žen: žen
hosunu: hosunu
me: me
ɣinaqal: ɣinaqal
hibo: hibo
ʎɨn: ʎɨn
iłe: iłe
ʎɨn: ʎɨn
ono: ono
goli: goli
iłe: iłe
ʎɨn: ʎɨn
izzu: izzu
ɣiná: ɣiná
ɣʷade: ɣʷade
diyo: diyo
ʎɨn: ʎɨn
hibo: hibo
ʎɨn: ʎɨn
obu: obu
diqol: diqol
de: de
ʎɨn: ʎɨn
mo: mo
naɣul: na ɣul
ʎɨn: ʎɨn
ise: ise
amanatba: amanat ba
behideyk: behidey k
ʎin: ʎin
isul: isul
os: os
ise: ise
dac: dac
goli: goli
ʎɨn: ʎɨn
hunuža: hunuža
de: de
žequł: žequł
dac: dac
goli: goli
ʎɨn: ʎɨn
hunuža: hunuža
ise: ise
žequł: žequł
dac: dac
goli: goli
ʎɨn: ʎɨn
iłe: iłe
ide: ide
goli: goli
ʎɨn: ʎɨn
iłe: iłe
ono: ono
goli: goli
ʎɨn: ʎɨn
mo: mo
de: de
iho: iho
ise: ise
diqol: diqol
de: de
idu: idu
dubo: dubo
iłe: iłe
diyo: diyo
ʎɨn: ʎɨn
huniža: huniža
užaqal: užaqal
žu: žu
ʎɨn: ʎɨn
huniža: huniža
užaqal: užaqal
mo: mo
ʎɨn: ʎɨn
xanus: xanus
žu: žu
kad: kad
isuho: isuho
ʎɨn: ʎɨn
ʎɨn: ʎɨn
huniža: huniža
žequł: žequł
ʎɨn: ʎɨn
huniža: huniža
huniža: huniža
ʎɨn: ʎɨn
de: de
ʎɨn: ʎɨn
iłe: iłe
ʎɨn: ʎɨn
de: de
ʎɨn: ʎɨn
iłe: iłe
ʎɨn: ʎɨn
uža: uža
hoččun: hoččun
diyo: diyo
goli: goli
mo: mo
diyo: diyo
goli: goli
gobi: gobi
gobi: gobi
dilʲ: dilʲ
iso: iso
dilʲ: dilʲ
iso: iso
